Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
Top 5 Avg,0.29,1.54597882913007,-0.186833482951791,0.81742067049543,-0.0115979284926163,-0.599390245872021,0.539800894642691
